date_posted,funny,helpful,hour_played,is_early_access_review,recommendation,review,title
2018-07-12,0,0,1,False,Recommended,Product received for free. This game is amazing! You'll never see a soccer game with this high of graphics or car to net type of gaming. I gladly recommend this game to anyone who love playing with a controller but if you still play with a computer that is fine. Rocket League makes it where you can use both!,Rocket League®
2016-06-29,0,0,717,False,Recommended,Spent 450+ hours on the game and it just never seems to get old to me. Very fun to play with friends and extremely exciting when you put together the perfect play and score on the opposing team. 10/10,Rocket League®
2018-07-12,0,0,569,False,Recommended,Such a great game. Highly recommended to everyone who loves driving and have fun with your friends (ofc. if you have them),Rocket League®
2018-07-12,0,0,131,False,Recommended,Got it through the Summer Steam Sales and it's been by far very satisfying for 5hrs in +Ball+Soccer+RC+FUN+amazing Shots+amazing random shots Bots in game Bots better than players,Rocket League®
2018-07-12,0,0,1,False,Recommended,Product received for free. i like it,Rocket League®
2016-10-10,0,0,58,False,Recommended,Very nice game!!! (If you like CARBALL!!),Rocket League®
2018-07-12,0,0,433,False,Recommended,fun,Rocket League®
2018-07-12,0,0,745,False,Recommended,This game is so pik .. ..wish i would've had it when it barely came out.,Rocket League®
2018-07-09,0,0,19,False,Recommended,Very challenging ) for me it's a good game coz I like sports...It is better to play with friends to have some calloutsand also the good thing about this game is you can customize your cars the way you want ),Rocket League®
2018-07-12,0,0,3,False,Recommended,nyoom,Rocket League®
2018-07-12,0,0,0,False,Recommended,Product received for free. super,Rocket League®
2015-10-24,0,0,64,False,Recommended,Great game to play with friends! 10/10,Rocket League®
2015-10-24,0,0,5,False,Recommended,good game,Rocket League®
2015-10-24,0,0,29,False,Recommended,A game worth standing in line for Comrades!,Rocket League®
2015-10-24,0,0,1832,False,Recommended,I'm doing this for a steam achievement.Also a ing awesome game.,Rocket League®
2015-10-24,0,0,1,False,Recommended,It's an awsome game with decent graphics and a very competitive gameplay. I recommend this game to anyone who likes cars sports and being competitive.,Rocket League®
2018-03-11,0,0,398,False,Recommended,This game is so fun it contains items when you win play soccer hockey basketball or a gamemade sport,Rocket League®
2018-07-31,0,0,73,False,Not Recommended,this Game!,Rocket League®
2018-04-04,0,0,179,False,Recommended,What I liked about this game Great in' game dude multiplayer fun and fast paced action. Maps don't matter since they're all the same and building skill in this game is not too hard since there are always new players to grow with. Matchmaking has it's flaws but it does it's job right. Everyone has a role they have to fill out as this is a team based game. Rarely any toxic players in my experience. What I think this game can improve on A few glitches but out of all the hours I've played I've only seen one that hurt my gameplay my HUD just dissapeared out of nowhere other than that everything's alright. Most of the problems I have are with players since a lot of them are ball hogs who just run for the ball and think that just hitting it would make them win players who leave before they lose as well. Ah well no games are safe from these kinds of people. Overall Fun if you have friends. It's pretty okay without friends as well just hope you get matched with the good parts of the community. 10/10 Footnotes 05.08.18 As of lately the servers feel like constant lag and all that stuff. Nothing too bad but can get extremely annoying at times.,Rocket League®
2018-08-05,0,0,1171,False,Recommended,This action packed game will make you want more and there is always something more that you can learn. Even for people that have played for thousands of hours they are still learning and mastering new skills. The game really shines when you play with friends.,Rocket League®
